reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
78,80,162,6,3,45,6,266.02665210003033,,266.0131272000144,266.02665210003033,267.0267719000112,267.0267719000112,267.0267719000112,267.82953029999044,t,0.8003942999639548,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
40,55,62,6,4,46,3,267.8436122999992,,267.831211599987,267.8436122999992,268.84355059999507,268.84355059999507,268.84355059999507,270.94547979999334,t,2.0936627999763004,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
49,60,89,6,5,47,4,270.960277300037,,270.94671440002276,270.960277300037,271.9602144000237,271.9602144000237,271.9602144000237,273.11206180002773,l,1.1357980000320822,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
67,75,119,6,6,48,5,273.1267047000001,,273.1132499999949,273.1267047000001,274.12656280002557,274.12656280002557,274.12656280002557,275.31214570003795,t,1.1685759999672882,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
27,50,21,7,0,49,2,275.3267504000105,,275.3133553999942,275.3267504000105,276.3266764000291,276.3266764000291,276.3266764000291,278.26377580000553,l,1.9332116000005044,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
78,80,162,7,1,50,6,278.27767630002927,,278.2652090000338,278.27767630002927,279.27669890003745,279.27669890003745,279.27669890003745,313.4621671999921,t,34.180093700008,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
67,75,119,7,2,51,5,313.47678279998945,,313.4633507000399,313.47678279998945,314.476883299998,314.476883299998,314.476883299998,318.6454673000262,t,4.154209500004072,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
11,30,7,7,3,52,0,318.6603356000269,,318.64672100002645,318.6603356000269,319.6606789000216,319.6606789000216,319.6606789000216,320.7796215999988,l,1.1042545999516733,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
40,55,62,7,4,53,3,320.7938334000064,,320.7808244000189,320.7938334000064,321.7937819000217,321.7937819000217,321.7937819000217,323.0122449999908,t,1.2025575000443496,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
15,35,13,7,5,54,1,323.0270578000345,,323.01341150002554,323.0270578000345,324.0267925999942,324.0267925999942,324.0267925999942,328.2623247000156,l,4.229533199977595,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
49,60,89,7,6,55,4,328.2769464000012,,328.26349089998985,328.2769464000012,329.27680749999126,329.27680749999126,329.27680749999126,332.07870930002537,t,2.7864002999849617,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
11,30,7,8,0,56,0,332.09374260000186,,332.0798522999976,332.09374260000186,333.09363780001877,333.09363780001877,333.09363780001877,335.8625336000114,l,2.7635638999636285,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
49,60,89,8,1,57,4,335.8772351000225,,335.8637005999917,335.8772351000225,336.8771688999841,336.8771688999841,336.8771688999841,337.74582330003614,t,0.8655329999746755,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
27,50,21,8,2,58,2,337.76066040003207,,337.7470298000262,337.76066040003207,338.7604871999938,338.7604871999938,338.7604871999938,339.7291805000277,t,0.9612150000175461,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
15,35,13,8,3,59,1,339.74360960000195,,339.7303423000267,339.74360960000195,340.74360049999086,340.74360049999086,340.74360049999086,343.9456943999976,l,3.199067900015507,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
78,80,162,8,4,60,6,343.96050089999335,,343.94697669998277,343.96050089999335,344.9605253000045,344.9605253000045,344.9605253000045,351.0956889000372,t,6.127060199971311,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
67,75,119,8,5,61,5,351.1107180000399,,351.0967149999924,351.1107180000399,352.1108038999955,352.1108038999955,352.1108038999955,357.29548600001726,t,5.1757564000436105,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
40,55,62,8,6,62,3,357.3105534000206,,357.2966363999876,357.3105534000206,358.3109823000268,358.3109823000268,358.3109823000268,360.3783942000009,t,2.0550365999806672,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
15,35,13,9,0,63,1,360.39366100000916,,360.37897439999506,360.39366100000916,361.3938121999963,361.3938121999963,361.3938121999963,362.960973200039,l,1.555657599994447,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
40,55,62,9,1,64,3,362.9770054999972,,362.9614111999981,362.9770054999972,363.9773529000231,363.9773529000231,363.9773529000231,365.47868210001616,t,1.4867167000193149,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
49,60,89,9,2,65,4,365.49364400003105,,365.47932199999923,365.49364400003105,366.49386699998286,366.49386699998286,366.49386699998286,375.3452726000105,t,8.841349099995568,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
11,30,7,9,3,66,0,375.36067890003324,,375.34589960001176,375.36067890003324,376.3606176000321,376.3606176000321,376.3606176000321,377.4120463000145,l,1.0363238000427373,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
67,75,119,9,4,67,5,377.42728170001647,,377.412684000039,377.42728170001647,378.4272023999947,378.4272023999947,378.4272023999947,379.57871530001285,t,1.148366800043732,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
78,80,162,9,5,68,6,379.59375430003274,,379.57928810000885,379.59375430003274,380.5938766000327,380.5938766000327,380.5938766000327,381.6120043999981,t,1.011056200019084,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
27,50,21,9,6,69,2,381.6273069999879,,381.6126706000068,381.6273069999879,382.62737549998565,382.62737549998565,382.62737549998565,383.71189730003243,l,1.0784573000273667,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
67,75,119,10,0,70,5,383.72729120001895,,383.712547800038,383.72729120001895,384.72731089999434,384.72731089999434,384.72731089999434,385.61219140002504,t,0.8823769000009634,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
40,55,62,10,1,71,3,385.6272753000376,,385.6128303000005,385.6272753000376,386.6274173000129,386.6274173000129,386.6274173000129,387.7786690000212,t,1.134302100050263,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
49,60,89,10,2,72,4,387.7937552999938,,387.77928040002007,387.7937552999938,388.79393680003705,388.79393680003705,388.79393680003705,390.2958207000047,l,1.49979530001292,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
11,30,7,10,3,73,0,390.31065880000824,,390.29642470000545,390.31065880000824,391.3107223000261,391.3107223000261,391.3107223000261,392.36218719999306,l,1.0426649000146426,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
78,80,162,10,4,74,6,392.3772362000309,,392.3628316000104,392.3772362000309,393.37743779999437,393.37743779999437,393.37743779999437,394.3452796000056,t,0.9601635999861173,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
15,35,13,10,5,75,1,394.36071119998815,,394.3459106000373,394.36071119998815,395.3609214000171,395.3609214000171,395.3609214000171,398.32879759999923,l,2.957768300024327,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
27,50,21,10,6,76,2,398.3438041000045,,398.3294548999984,398.3438041000045,399.34390300000086,399.34390300000086,399.34390300000086,401.09520750003867,l,1.7408749999594875,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
15,35,13,11,0,77,1,401.1106167000253,,401.0958693000139,401.1106167000253,402.1107530000154,402.1107530000154,402.1107530000154,404.0955797000206,l,1.9821491000475362,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
27,50,21,11,1,78,2,404.11080740002217,,404.09621729998617,404.11080740002217,405.1106916000135,405.1106916000135,405.1106916000135,406.94596769998316,l,1.8329364000237547,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
